index,Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae,Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae,Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Brevibacteriaceae,Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Intrasporangiaceae,Bacteria;Bacillota;Bacilli;Acholeplasmatales;Acholeplasmataceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae,Bacteria;Patescibacteria;Parcubacteria;;,Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae,Bacteria;Bacillota;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae,Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae,Bacteria;Bacillota;Clostridia;Clostridia vadinBB60 group;,Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Pseudobdellovibrionaceae,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;,Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae,Bacteria;Bacillota;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae,Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae,Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae,Eukaryota;;;;,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae,Bacteria;Bacillota;Bacilli;Bacillales;Sporolactobacillaceae,Bacteria;Actinomycetota;Actinobacteria;Actinomycetales;Actinomycetaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae,Bacteria;Bacillota;Clostridia;Christensenellales;Christensenellaceae,Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae,Bacteria;Bacillota;Bacilli;Erysipelotrichales;,Bacteria;Bacillota;Clostridia;Clostridiales;Clostridiaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family,Bacteria;Bacillota;Bacilli;Mycoplasmatales;Mycoplasmataceae,Bacteria;Bdellovibrionota;Bacteriovoracia;Bacteriovoracales;Bacteriovoracaceae,Bacteria;Cyanobacteriota;Vampirivibrionia;Gastranaerophilales;Gastranaerophilaceae,Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Alcaligenaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Saccharospirillaceae,Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;,Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Dermabacteraceae,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae,Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Micrococcaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae,Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae,Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomataceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Chromobacteriaceae,Bacteria;Bacillota;Bacilli;Erysipelotrichales;Erysipelotrichaceae,Bacteria;Bacillota;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae,Bacteria;Bacillota;Clostridia;Oscillospirales;UCG-010,Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales;Corynebacteriaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae,Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae,Bacteria;Bacillota;Negativicutes;;,Bacteria;Patescibacteria;Gracilibacteria;Absconditabacteriales (SR1);,Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales;Nocardiaceae,Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;,Bacteria;Bacillota;Clostridia;;,Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae,Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae,Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae,Bacteria;Bacillota;Clostridia;Peptostreptococcales-Tissierellales;Family XI,Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae,Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;,Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Sutterellaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Neisseriaceae,Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Vibrionaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Methylophilaceae,Bacteria;Bacillota;Clostridia;Clostridia UCG-014;,Bacteria;Bacillota;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Alteromonadaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae,Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae,Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae,Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae,Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae,Bacteria;Bacillota;Bacilli;Staphylococcales;Staphylococcaceae,Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae,Bacteria;Actinomycetota;Actinobacteria;Frankiales;Nakamurellaceae,Bacteria;Bacteroidota;Bacteroidia;;,Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae,Bacteria;Bacillota;Clostridia;Monoglobales;Monoglobaceae,Bacteria;Pseudomonadota;Alphaproteobacteria;Micavibrionales;,Bacteria;Bacillota;Clostridia;Oscillospirales;,Bacteria;Actinomycetota;Thermoleophilia;Gaiellales;,Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae,Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Idiomarinaceae,Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Propionibacteriaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Halomonadaceae,Bacteria;Pseudomonadota;Alphaproteobacteria;Micavibrionales;Micavibrionaceae,Bacteria;Thermodesulfobacteriota;Desulfuromonadia;Bradymonadales;Incertae Sedis,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Succinivibrionaceae,Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae,Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;,Bacteria;Abditibacteriota;Abditibacteriia;Abditibacteriales;Abditibacteriaceae,Archaea;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanobacteriaceae,Bacteria;Pseudomonadota;Alphaproteobacteria;Incertae Sedis;Incertae Sedis,Bacteria;;;;,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae,Bacteria;Patescibacteria;ABY1;Candidatus Falkowbacteria;,Bacteria;Bacillota;Bacilli;RF39;,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae,Bacteria;Bacillota;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae,Bacteria;Verrucomicrobiota;Kiritimatiellia;WCHB1-41;,Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Cellvibrionaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae,Archaea;Halobacteriota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae,Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae,Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae,Bacteria;Pseudomonadota;Alphaproteobacteria;Reyranellales;Reyranellaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Salinisphaerales;Nevskiaceae,Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudohongiellaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae,Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae,Bacteria;Actinomycetota;Actinobacteria;Micrococcales;,Bacteria;Chloroflexota;Gitt-GS-136;;,Bacteria;Myxococcota;Polyangiia;Haliangiales;Haliangiaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;,Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae,;;;;,Bacteria;Bacillota;Clostridia;Oscillospirales;Butyricicoccaceae,Bacteria;Myxococcota;Polyangiia;Polyangiales;Sandaracinaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae,Bacteria;Thermodesulfobacteriota;Desulfuromonadia;Bradymonadales;,Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae,Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales;Mycobacteriaceae,Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Demequinaceae,Bacteria;Pseudomonadota;Alphaproteobacteria;Parvibaculales;Parvibaculaceae,Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales;Dietziaceae,Bacteria;Bacillota;Bacilli;Aneurinibacillales;Aneurinibacillaceae,Bacteria;Candidatus Eremiobacterota;Eremiobacteria;;,Bacteria;Sumerlaeota;Sumerlaeia;Sumerlaeales;Sumerlaeaceae,Bacteria;Pseudomonadota;Alphaproteobacteria;Defluviicoccales;,Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;,Bacteria;Bacillota;Clostridia;Peptococcales;Peptococcaceae,Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales Incertae Sedis,Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Eggerthellaceae,Bacteria;Armatimonadota;;;,Bacteria;Pseudomonadota;Alphaproteobacteria;Micropepsales;Micropepsaceae,Bacteria;Bacillota;Bacilli;Lactobacillales;,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Verrucomicrobiaceae,Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Bogoriellaceae,Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;,Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Wohlfahrtiimonadaceae,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;37-13,Bacteria;Bacillota;Bacilli;Izemoplasmatales;,Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae,Bacteria;Actinomycetota;Actinobacteria;Frankiales;,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Rubritaleaceae,Bacteria;Bacillota;Bacilli;Bacillales;,Bacteria;Actinomycetota;Actinobacteria;Frankiales;Sporichthyaceae,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Pasteurellaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Marinobacteraceae,Bacteria;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae,Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae,Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae,Bacteria;Bacillota;Clostridia;Eubacteriales;Alkalibacteraceae,Bacteria;Chlamydiota;Chlamydiia;Chlamydiales;Parachlamydiaceae,Bacteria;Bacillota;Negativicutes;Veillonellales-Selenomonadales;,Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Dermacoccaceae,Bacteria;Pseudomonadota;Alphaproteobacteria;;,Bacteria;Bacillota;Bacilli;Lactobacillales;Listeriaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;R7C24;,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;MWH-CFBk5,Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cytophagaceae,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;,Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae,Bacteria;Myxococcota;Polyangiia;Polyangiales;BIrii41,Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae,Bacteria;Cyanobacteriota;Sericytochromatia;;,Bacteria;Actinomycetota;Actinobacteria;Frankiales;Frankiaceae,Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Nitrosococcales;Methylophagaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales RF16 group,Bacteria;Deinococcota;Deinococci;Deinococcales;Trueperaceae,Bacteria;Bacillota;;;,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Aeromonadaceae,Bacteria;Chlamydiota;Chlamydiia;Chlamydiales;Simkaniaceae,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Chthoniobacterales;Chthoniobacteraceae,Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae,Bacteria;Bacillota;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae,Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerofustaceae,Bacteria;Chloroflexota;Dehalococcoidia;;,Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae,Bacteria;Actinomycetota;Acidimicrobiia;Actinomarinales;,Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Dermatophilaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae,Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae,Bacteria;Bacillota;Bacilli;Thermicanales;Thermicanaceae,Bacteria;Actinomycetota;Actinobacteria;Actinomycetales;,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Sulfuricellaceae,Bacteria;Dependentiae;Babeliae;Babeliales;Vermiphilaceae,Bacteria;Bacillota;Bacilli;Brevibacillales;Brevibacillaceae,Bacteria;Chloroflexota;Chloroflexia;Thermomicrobiales;JG30-KF-CM45,Bacteria;Bacillota;Clostridia;Lachnospirales;Defluviitaleaceae,Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Micrococcales Incertae Sedis,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;HAW-RM37-2,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;DEV007,Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Microtrichaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;p-251-o5,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae,Bacteria;Bacillota;Bacilli;Staphylococcales;Gemellaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;p-2534-18B5 gut group,Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Phormidiaceae,Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae,Bacteria;Patescibacteria;Gracilibacteria;Candidatus Peregrinibacteria;,Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Cellulomonadaceae,Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Porticoccaceae,Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae,Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;,Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Nocardiopsidaceae,Bacteria;Pseudomonadota;;;,Bacteria;Actinomycetota;Actinobacteria;Frankiales;Geodermatophilaceae,Bacteria;Actinomycetota;Actinobacteria;;,Bacteria;Patescibacteria;Gracilibacteria;JGI 0000069-P22;,Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;67-14,Bacteria;Myxococcota;Polyangiia;Nannocystales;Nannocystaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Shewanellaceae,Bacteria;Pseudomonadota;Alphaproteobacteria;Rickettsiales;SM2D12,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Opitutales;,Bacteria;Bacillota;Bacilli;Lactobacillales;Vagococcaceae,Bacteria;Cyanobacteriota;Vampirivibrionia;Vampirovibrionales;,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Alcanivoracaceae1,Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Beutenbergiaceae,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;,Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;NS11-12 marine group,Bacteria;Actinomycetota;Actinobacteria;PeM15;,Bacteria;Pseudomonadota;Alphaproteobacteria;Rickettsiales;,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Opitutales;Puniceicoccaceae,Bacteria;Planctomycetota;OM190;;,Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;Victivallaceae,Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae,Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;vadinBE97,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;B1-7BS,Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae,Bacteria;Actinomycetota;Actinobacteria;Kitasatosporales;Streptomycetaceae,Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;env.OPS 17,Bacteria;Chloroflexota;Anaerolineae;RBG-13-54-9;,Bacteria;Actinomycetota;Actinobacteria;Micrococcales;AKAU3644,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae,Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Iamiaceae,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae,Bacteria;Gemmatimonadota;Longimicrobiia;Longimicrobiales;Longimicrobiaceae,Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexaceae,Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae,Bacteria;Thermodesulfobacteriota;Desulfuromonadia;Bradymonadales;Bradymonadaceae,condition,comparison1_2,comparison1_3,comparison1_4
sample1,3869.0,5013.0,6150.0,268.0,119.0,1343.0,1467.0,0.0,1605.0,106.0,413.0,1537.0,56.0,0.0,46.0,1939.0,225.0,556.0,56.0,0.0,387.0,0.0,103.0,148.0,234.0,1669.0,0.0,100.0,0.0,683.0,108.0,54.0,50.0,884.0,67.0,0.0,4928.0,1073.0,1198.0,3397.0,801.0,190.0,8.0,33.0,984.0,92.0,0.0,192.0,10222.0,491.0,321.0,0.0,0.0,0.0,343.0,29.0,76.0,0.0,0.0,224.0,83.0,26.0,217.0,0.0,0.0,116.0,246.0,20.0,349.0,2224.0,0.0,8.0,197.0,405.0,10.0,0.0,164.0,249.0,72.0,314.0,3082.0,1720.0,0.0,0.0,0.0,453.0,188.0,37.0,0.0,0.0,457.0,0.0,316.0,82.0,4541.0,153.0,52.0,27.0,97.0,247.0,0.0,26.0,179.0,0.0,30.0,44.0,0.0,75.0,0.0,213.0,0.0,0.0,164.0,3028.0,0.0,56.0,311.0,0.0,0.0,0.0,0.0,28.0,167.0,452.0,50.0,11.0,49.0,0.0,74.0,5.0,0.0,74.0,0.0,147.0,2943.0,25.0,0.0,42.0,115.0,0.0,1307.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,223.0,0.0,63.0,0.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,124.0,65.0,16.0,32.0,15.0,52.0,0.0,0.0,0.0,123.0,22.0,26.0,8.0,0.0,0.0,124.0,98.0,0.0,16.0,20.0,0.0,0.0,0.0,112.0,85.0,13.0,0.0,0.0,0.0,20.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,13.0,73.0,29.0,23.0,23.0,0.0,0.0,0.0,59.0,0.0,26.0,408.0,35.0,0.0,0.0,693.0,92.0,0.0,11.0,107.0,0.0,0.0,9.0,0.0,35.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,88.0,9.0,136.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,6.0,52.0,526.0,0.0,samp1,true,true,true
sample2,8869.0,3236.0,755.0,116.0,85.0,1187.0,8572.0,0.0,2199.0,264.0,95.0,4559.0,266.0,9.0,26.0,2120.0,425.0,368.0,989.0,0.0,34.0,21.0,5.0,24.0,341.0,1289.0,0.0,77.0,6.0,124.0,0.0,215.0,350.0,677.0,0.0,0.0,1374.0,944.0,4301.0,6857.0,577.0,172.0,55.0,0.0,291.0,855.0,17.0,258.0,6243.0,593.0,1321.0,0.0,0.0,0.0,134.0,25.0,6.0,0.0,15.0,124.0,45.0,73.0,26.0,0.0,29.0,102.0,937.0,117.0,425.0,2282.0,0.0,0.0,999.0,45.0,111.0,0.0,1127.0,0.0,0.0,801.0,3409.0,775.0,0.0,6.0,106.0,189.0,24.0,0.0,17.0,4.0,63.0,0.0,277.0,6.0,836.0,90.0,0.0,0.0,127.0,103.0,0.0,0.0,88.0,0.0,202.0,240.0,0.0,172.0,7.0,258.0,48.0,12.0,47.0,7020.0,4.0,0.0,151.0,0.0,0.0,0.0,30.0,0.0,69.0,87.0,30.0,0.0,0.0,0.0,52.0,0.0,0.0,225.0,0.0,57.0,7930.0,3.0,0.0,0.0,830.0,0.0,834.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,195.0,0.0,13.0,0.0,0.0,28.0,0.0,0.0,9.0,0.0,2.0,362.0,4.0,7.0,0.0,0.0,0.0,90.0,0.0,0.0,32.0,0.0,23.0,13.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,13.0,0.0,9.0,8.0,0.0,12.0,0.0,0.0,0.0,0.0,70.0,0.0,12.0,171.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,25.0,11.0,72.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,7.0,940.0,0.0,4.0,18.0,1756.0,0.0,39.0,0.0,124.0,0.0,45.0,0.0,0.0,0.0,0.0,21.0,0.0,16.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.0,0.0,samp2,true,false,false
sample3,46.0,350.0,120.0,27.0,0.0,0.0,128.0,14.0,105.0,0.0,5.0,55.0,0.0,9.0,102.0,26.0,0.0,212.0,0.0,54.0,30.0,0.0,151.0,0.0,0.0,1140.0,0.0,14.0,9.0,3595.0,0.0,0.0,0.0,18.0,0.0,36.0,37.0,139.0,450.0,0.0,553.0,79.0,114.0,0.0,14.0,75.0,0.0,0.0,1275.0,0.0,0.0,152.0,0.0,0.0,156.0,83.0,40.0,45.0,0.0,390.0,0.0,0.0,2173.0,40.0,0.0,536.0,0.0,83.0,148.0,125.0,0.0,72.0,70.0,39.0,24.0,13.0,0.0,0.0,0.0,34.0,71.0,2963.0,120.0,14.0,0.0,15622.0,0.0,0.0,0.0,0.0,12.0,0.0,218.0,38.0,3319.0,74.0,0.0,0.0,0.0,71.0,8.0,5.0,0.0,12.0,564.0,0.0,3.0,0.0,0.0,806.0,0.0,86.0,95.0,699.0,0.0,48.0,21.0,52.0,12.0,0.0,0.0,0.0,139.0,99.0,11.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,16.0,11037.0,255.0,0.0,17.0,76.0,36.0,0.0,16.0,106.0,22.0,0.0,11.0,0.0,0.0,142.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,45.0,0.0,0.0,19.0,20.0,60.0,0.0,52.0,0.0,0.0,5671.0,45.0,0.0,0.0,36.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,28.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,35.0,34.0,0.0,0.0,41.0,24.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,0.0,7764.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,44.0,46.0,0.0,25.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,10.0,0.0,0.0,64.0,0.0,20.0,0.0,21.0,36.0,0.0,35.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,samp3,false,true,false
