# Constructed from biom file
#OTU ID	sample1	sample2	sample3	sample4
Bacteria;Bacillota;Clostridia;Lachnospirales	0.04610123445021686	0.09034788366525748	0.0007070831283817019	0.03407982645629962
Bacteria;Actinomycetota;Actinobacteria;Micrococcales	0.21529002430770697	0.10926501298833596	0.017461878996556813	0.050276630845934395
Bacteria;Bacillota;Bacilli;Acholeplasmatales	0.0014179495734235738	0.000865889064330464	0.0	0.0024883104098876157
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	0.08890186359086792	0.20949421891712933	0.002336448598130841	0.1048645101309781
Bacteria;Patescibacteria;Parcubacteria;	0.0	0.0	0.00021519921298573537	0.0
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales	0.019124445927267527	0.022401059440737534	0.0022442203639940973	0.028255539452936296
Bacteria;Bacillota;Clostridia;Peptostreptococcales-Tissierellales	0.0063867308517229875	0.0055824377323893445	0.045791318248893265	0.026058899127724154
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales	0.0054692340689194985	0.001232618550399837	0.001644736842105263	0.0040651518051643834
Bacteria;Bacillota;Clostridia;Oscillospirales	0.059303655688480054	0.09497274996179901	0.003089645843580915	0.04025047168521506
Bacteria;Bacillota;Clostridia;Clostridia vadinBB60 group	0.0006672703874934465	0.0027097234248459226	0.0	0.005341208425619571
Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales	0.0	9.168237151734325e-05	0.0001383423512051156	0.000264326014237146
Bacteria;Bacillota;Bacilli;Lactobacillales	0.05518087793718126	0.04224519940915805	0.3796728971962617	0.04632997001266942
Bacteria;Bacillota;Bacilli;Erysipelotrichales	0.014405891044278156	0.007293842000713085	0.00021519921298573537	0.0036641054387356103
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	0.011748725036938181	0.006163092751999185	0.10255779636005903	0.010955857555622396
Bacteria;Bacillota;Negativicutes;Acidaminococcales	0.0006672703874934465	0.010074873936739163	0.0	0.00210549342375106
Eukaryota;;;	0.0	0.0	0.0008300541072306936	9.114690146108483e-05
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales	0.005779038177398599	0.00043803799724952884	0.00046114117068371866	0.0025156544803259413
Bacteria;Bacillota;Bacilli;Bacillales	0.008114484533625661	0.0021188814750674884	0.006486719134284309	0.0041471840164793595
Bacteria;Actinomycetota;Actinobacteria;Actinomycetales	0.0015013583718602546	5.093465084296847e-05	0.002321077225774717	0.016606965446209657
Bacteria;Bacillota;Clostridia;Christensenellales	0.002788236976311901	0.00347374318749045	0.0	0.0016679882967378524
Bacteria;Bacillota;Clostridia;Clostridiales	0.0011915542633811544	0.0007843936229817145	0.00021519921298573537	0.0006562576905198108
Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis	0.0	6.112158101156217e-05	0.0001383423512051156	7.291752116886786e-05
Bacteria;Bacillota;Bacilli;Mycoplasmatales	0.008138315618893284	0.001263179340905618	0.05526008362026562	0.023634391548859296
Bacteria;Bdellovibrionota;Bacteriovoracia;Bacteriovoracales	0.0012868786044516467	0.0	0.0	0.003582073227420634
Bacteria;Cyanobacteriota;Vampirivibrionia;Gastranaerophilales	0.0006434393022258234	0.0021901899862476443	0.0	0.0014036622825007064
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales	0.0005957771316905772	0.003565425559007793	0.0	0.00336332066391403
Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales	0.02193651398884705	0.02184077828146488	0.17924557304476144	0.03514624520339431
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	0.07871407463895906	0.15369021545357306	0.018507132316773242	0.13715785731864044
Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20	0.0	0.0	0.0005533694048204624	0.0
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales	0.04019112530384634	0.03292415830489482	0.004672897196261682	0.10127332221341136
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	0.009544349649683046	0.005877858707278562	0.008500368912936547	0.009269639878592327
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales	0.0023711929841284973	0.0017521519889981154	0.0012143384161337925	0.00029167008467547145
Bacteria;Bacteroidota;Bacteroidia;Cytophagales	0.002168628759353701	0.000865889064330464	0.0019214215445154943	0.002734407043832545
Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales	0.00041704399218340404	0.0005297203687668721	0.0002920560747663551	0.0006380283102275938
Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales	0.14196177493923073	0.07345795344572913	0.023410600098376783	0.06411273048772707
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales	0.005850531433201468	0.006040849589976061	0.0	0.01603273996700482
Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales	0.0	0.0	0.002336448598130841	0.0
Bacteria;Bacillota;Negativicutes;	0.0	0.0	0.0	0.00010937628175330179
Bacteria;Patescibacteria;Gracilibacteria;Absconditabacteriales (SR1)	0.0	0.0	0.0	0.0001549497324838442
Bacteria;Bacillota;Bacilli;Paenibacillales	0.00034555073638053475	0.00025467325421484234	0.0012758239055582882	0.00017317911277606117
Bacteria;Bacillota;Clostridia;	0.0	0.0001528039525289054	0.0	0.0005013079580359665
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales	0.000988990038606358	0.00045841185758671625	0.0	0.0021784109449199274
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	0.0065773795338639725	0.011205623185453064	7.685686178061978e-05	0.0029167008467547145
